geoid10,population,hospital,library,school,supermarket
245100601002007,165,2141.6,514.0,553.9,475.8
245100601003000,166,1792.2,128.1,446.6,598.4
245100601003001,129,1726.4,81.5,379.3,664.6
245100601003002,107,1670.9,134.7,326.6,717.9
245100601003003,96,1801.3,268.2,249.0,851.3
245100601003004,99,1854.0,216.3,300.5,799.5
245100601003005,106,1922.8,261.8,368.9,729.4
245100601004000,146,1529.4,249.4,445.0,555.2
245100601004001,144,1462.7,254.9,377.7,621.1
245100601004002,130,1407.5,263.8,323.4,588.6
245100601004003,99,1516.2,154.7,306.4,657.9
245100601004004,67,1566.6,155.5,357.4,601.8
245100601004005,80,1631.2,147.5,420.3,525.2
245100602001000,140,1340.9,329.3,254.9,522.8
245100602001001,61,1453.3,221.0,242.9,635.2
245100602001002,80,1402.2,275.2,191.0,584.0
245100602001003,118,1286.3,383.2,198.5,468.2
245100602001004,136,1219.2,450.3,130.8,401.0
245100602002000,110,1600.7,203.6,256.4,783.5
245100602002001,101,1546.5,257.5,204.6,734.4
245100602002002,117,1473.4,326.6,205.8,661.3
245100602002003,85,1607.2,457.7,71.1,795.0
245100602002004,21,1644.2,425.3,34.7,832.1
245100602002005,107,1730.4,334.8,181.0,917.9
245100602003000,130,1423.9,378.7,220.9,611.8
245100602003001,134,1356.2,449.0,248.2,545.8
245100602003002,142,1303.5,502.4,301.6,544.9
245100602003003,110,1436.7,635.0,252.3,678.5
245100602003004,112,1488.7,579.7,199.8,678.2
245100602003005,90,1558.8,509.9,119.7,746.6
245100602004000,107,971.2,699.6,323.7,346.5
245100602004001,85,920.6,751.4,362.2,399.3
245100602004002,85,1046.9,622.2,379.9,528.8
245100602004003,144,1100.1,570.7,325.9,475.4
245100602004004,148,1232.4,572.9,372.1,614.4
245100602004005,108,1178.4,626.3,425.4,667.1
245100602004006,83,1315.3,756.7,377.7,797.6
245100602004007,70,1365.3,706.0,326.6,748.0
245100602005000,128,1163.8,505.5,131.2,346.0
245100602005001,86,1094.8,573.8,198.2,278.1
245100602005002,107,1041.6,628.9,254.1,276.4
245100602005003,101,1171.5,499.3,256.9,406.4
245100602005004,121,1223.1,445.5,203.3,406.4
245100602005005,98,1291.4,390.7,67.6,473.6
245100603001000,99,851.2,819.3,293.5,466.7
245100603001001,54,800.1,869.5,242.7,517.7
245100603001002,47,726.5,995.2,297.8,647.8
245100603001003,68,669.9,995.2,298.6,648.6
245100603001004,47,580.9,1084.6,312.2,736.5
245100603001005,75,528.8,1137.4,262.5,787.5
245100603001006,37,657.5,1015.0,133.0,916.8
245100603001007,65,708.3,963.3,184.5,864.2
245100603001008,34,769.4,903.9,293.1,757.0
245100603001009,39,821.4,850.5,359.6,744.1
245100603001010,56,926.4,737.7,370.4,656.8
245100603001011,39,958.0,770.7,400.3,582.8
245100603001012,10,868.8,803.1,323.0,725.2
245100603001013,27,823.6,849.7,238.0,811.6
245100603002000,147,1110.1,695.6,456.8,736.0
245100603002001,104,1069.9,744.2,410.2,784.3
245100603002002,26,924.7,745.8,265.0,785.9
245100603002003,66,896.2,849.1,161.7,887.0
245100603002004,54,847.7,918.1,92.7,956.0
245100603002005,14,797.7,969.6,41.2,923.3
245100603002006,24,894.0,1064.6,105.5,829.1
245100603002007,10,944.9,1013.7,156.4,880.9
245100603002008,42,1002.8,955.4,214.5,939.0
245100603002009,31,1067.0,889.6,278.7,929.8
245100603002010,27,1009.6,832.0,221.3,872.2
245100603002011,83,1203.6,877.9,412.9,918.1
245100603002012,98,1242.5,829.5,459.3,870.4
245100603002013,59,1122.4,956.3,334.1,938.1
245100603002014,102,1066.4,1016.8,278.2,879.5
245100603002015,97,1006.4,1073.4,217.9,821.0
245100603002016,66,906.6,1052.0,118.1,841.7
245100603002017,53,965.6,1110.4,177.2,786.0
245100604001000,7,870.4,838.8,1003.4,1363.2
245100604001002,44,266.5,960.5,521.9,937.2
245100604001003,14,320.1,906.8,468.4,883.4
245100604001007,86,776.5,542.9,642.6,855.8
245100604001008,30,919.5,598.8,593.9,790.4
245100604001009,33,879.5,639.6,636.5,749.0
245100604001010,19,809.7,746.4,675.8,646.0
245100604001011,86,808.3,986.9,610.4,564.6
245100604001012,92,584.4,721.6,450.4,679.4
245100604001013,50,729.8,972.1,549.0,504.4
245100604001014,35,980.2,659.4,533.3,729.7
245100604002000,28,360.0,1329.3,338.3,718.5
245100604002001,16,283.7,1256.1,415.1,795.4
245100604002004,18,276.7,1136.5,473.6,823.6
245100604002005,21,317.1,1176.0,433.1,783.1
245100604002006,42,354.3,1212.6,398.0,748.0
245100604002007,70,519.0,1104.5,272.3,852.5
245100604002008,27,323.5,1014.3,465.1,942.8
245100604002009,29,418.7,1181.1,495.4,899.3
245100604002010,113,618.6,1009.4,170.8,952.9
245100604002011,147,529.9,950.2,258.7,918.0
245100604002015,23,706.9,961.5,178.2,929.2
245100604002016,73,833.1,1088.1,183.6,765.9
245100604002017,37,835.7,1090.7,275.6,610.5
